タイムスタンプ,お名前,メッセージ(50文字以内でお願いします),文字数
2024/10/24 12:51:45,おじゃん,"今までお疲れ様でした。
自分はあなたのおかげでアイドルというコンテンツに出会い、何度も元気を貰いました。
あなたが日向坂で活動をしている時に好きになれて良かった。今後の活躍も期待しています。
本当にありがとうございました。",111
2024/10/24 12:54:09,かぜ,これまで日向坂に、おひさまに元気をもたらしてくれてありがとう！これからもずっと応援させてください！,49
2024/10/24 13:14:39,コウタ,にぶちゃんの笑顔にいつも励まされ、たくさんの元気を貰いました。本当にありがとう！永遠の推しです！,48
2024/10/24 13:39:30,kou,人生に最高の彩りを与えてくれてありがとう！卒業後も応援します,30
2024/10/24 13:43:22,れな,たくさんの幸せをありがとう！！　丹生ちゃんの未来がどこまでもあかるくありますように！,42
2024/10/24 14:06:44,おかゆ,"これからも笑顔で素敵な日々を過ごせますように。ずっと応援してます！
沢山の幸せをありがとう、大好き！",50
2024/10/24 14:40:57,のりしお,"ご卒業おめでとう！
丹生ちゃんの太陽の様な笑顔に沢山元気を貰いました！
いっぱい幸せになってね！",48
2024/10/24 15:08:47,まいな,"卒業おめでとう✨
にぶちゃんに一目惚れした日からずっとずっと大好きです♡
これからも応援してます！",49
2024/10/24 15:15:37,ひぃー,にぶちゃん卒業おめでとう！！カラーチャート大好きです\♡︎/これから進む道がたくさんの幸せで溢れますように。,54
2024/10/24 15:16:28,しゆぴ,丹生ちゃんご卒業おめでとうございます！アイドル丹生ちゃんを応援できて幸せでした！これからも丹生ちゃんが大好きです！,57
2024/10/24 15:16:32,れみ,丹生ちゃんの笑顔にたくさん救われました!!私の太陽です!!そんな私の愛してる丹生ちゃん卒業おめでとう!!,52
2024/10/24 15:28:53,さえ🐶💕,あかりちゃんの笑顔がだいすき🧡あかりちゃんと周りの大切な人がこれからも笑顔でいられますように🧡,49
2024/10/24 15:33:16,なおちゃん,卒業おめでとう🥺にぶちゃんは初めてできた最高の推しだよ！これからもずっと大好き🫶🏻,44
2024/10/24 15:48:53,タク,丹生ちゃん、ご卒業おめでとうございます。今まで丹生ちゃんの笑顔や言動、パフォーマンスに何度も元気と勇気を貰いました。今までありがとう。卒業後も引き続き応援します！！,82
2024/10/24 16:00:33,ゆきの,"丹生ちゃんにしかないハッピーオーラで
いつも幸せに過ごせています。
卒業おめでとう！これからも応援しています！",55
2024/10/24 16:09:06,ベル,"丹生ちゃんご卒業おめでとうございます！
たくさんの幸せと笑顔をいただきました。ありがとう。
これからも丹生ちゃんの、幸せを願ってます。",67
2024/10/24 16:11:15,まるめん,長い間本当にお疲れ様でした。丹生ちゃんの笑顔にいつも癒されていました。今後の人生も幸多き人生になる事をお祈り申し上げます。,61
2024/10/24 16:16:53,馬門溪竜,丹生ちゃんご卒業おめでとうございます 老若男女に愛される丹生ちゃんはこれからも沢山の場面で活躍を見せてくれると思います,59
2024/10/24 16:29:14,真冬,にぶちゃんは、私にとって推しメンであり、心の支えでもありました。これからも応援しています。,45
2024/10/24 16:40:53,あのさか,丹生ちゃんの太陽みたいに明るい笑顔にいつも元気を貰っていました。卒業おめでとう！,40
2024/10/24 17:04:57,たけ,"ご卒業おめでとうございます！！
たくさんのハッピーオーラをおひさまに届けてくれてありがとう！！",47
2024/10/24 17:28:59,RADGIMIX,いつも笑顔と癒しをありがとうございました♪ 自慢の推しでしたし、これからも応援しております☆,46
2024/10/24 17:37:32,なつ,日向坂46の丹生明里ちゃんに出会えて幸せでした♡これからもずーっと丹生ちゃんを推し続けます！,46
2024/10/24 18:38:30,やま,日向坂の活動お疲れ様！沢山の笑顔をありがとう！今後も新たなステージで活躍する丹生ちゃんを応援します！,50
2024/10/24 19:44:30,かなで,卒業おめでとうございます！笑顔でハッピーオーラ全開の丹生ちゃんが大好きです！これからも応援してます！,50
2024/10/24 20:03:19,あやねっち,にぶちゃん、たくさんの元気と笑顔と勇気とパワーと癒しをありがとう！！！！！7年前からわたしの生きる力のみなもとは間違いなくにぶちゃんでした！大好きだよー！！！,79
2024/10/24 21:12:47,ねね,卒業おめでとうございます！丹生ちゃんは今までアイドルに興味がなかった私が初めて推したアイドルです！いつでもニコニコしていて、可愛くて、明るくて、、そんな丹生ちゃんにいつも元気をもらっています！今までもこれからもずっっと大好きです！丹生ちゃんの事を推せて本当に幸せです♡,134
2024/10/24 22:13:47,宮崎出身Taka,丹生ちゃん約7年間本当にお疲れ様！丹生ちゃんが夢を叶えていく姿を応援できて幸せでした。これからもずっっと応援させてね。,59
2024/10/24 23:43:54,なな☘️,丹生ちゃんと出会ってから人生がすっごく楽しくなりました✨アイドルになってくれて本当にありがとう😭,49
